id,message
565655,"ليك هدية فورية 72 ساعة ببلاش  مع خدمة الشاشة من اورنج!
يلا كلم #91# مجانا وخد هديتك

وتابع كل الجديد عن الفناين و اعمالهم مع خدمة الشاشة
 72 ساعة ببلاش بعدين بـ 75 قرش لليوم
كلم #91# ببلاش"
565657,"احصل على 500 ميجا هدية  لما تستخدم كود orangeandcoca و 50 ضعف شحنتك وحدات لما تشحن من على تطبيقMy Orange  بكارت الائتمان 
لتحميل التطبيق https://bit.ly/MyOrange_B2B"
565659,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565663,"هشام قول لابو حماد خلي الكوفي ميكس كرتونه شكرا"
565665,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565667,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565669,"عرض الأسبوع وصل! 
2 % خصم على إجمالى الفاتورة لحد 4 سبتمبر  لما تطلب 
1) 150ج دولفيين 
أو
2)  الملكة
اطلب دلوقتى من التطبيق"
565671,"حاليا على iRead App الكتب الأكثر مبيعاً في 2020 وهتوصلك للبيت ولفترة محدودة أي 5 كتب من قسم Special Offers ب250ج، حمل التطبيق bit.ly/2L2CTTR"
565673,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565675,"*مبروك عليك كسبت هديةفورية*
١٠دقائق لارقام أورنچ لمرةواحدة
 اطلب#25#ببلاش
*جوائز كتير*
كسبت١٠دقائق هديةفورية
اعرف الإفيةواكسب جائزةمليون جنيةمع خدمةحريف أفلام!
٣أيام ببلاش بعدها٢جنيةلليوم!اطلب#25#ببلاش"
565677,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565679,"هل يمكنك معاودة الاتصال لاحقاً؟"
565681,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565683,"كرتونة صابون ديتول 165جرام
ب ٤٥٥ ج بدلا من ٤٧٠ج !! 
أطلبها دلوقتى"
565685,"لاول مرة من اورنچ و كوكاكولا، هتكسب 500 ميجابايتس ببلاش .اشرب كوكاكولا و ابعت الكود اللى تحت غطا الازازة على #الكود*5# و استمتع بهديتك، وكمان بعد كده هتكسب ١٠٠ ميجا فى كل ازازة"
565687,"تم تجديد باقة Premium ٢‎٥‎  ونفذت دقائق الباقة السابقة"
565689,"تم تجديد باقة بريميم 25 . لديك الآن 90 دقيقه لأي شبكه، 1200 دقيقه  و 200 ميجابايت"
